Slot,Vmag,Vang,VbMag,VbAng,VcMag,VcAng,iaMag,iaAng,ibMag,ibAng,icMag,icAng,Va2Mag,Va2Ang,Vb2Mag,Vb2Ang,Vc2Mag,Vc2Ang,ia2Mag,ia2Ang,ib2Mag,ib2Ang,ic2Mag,ic2Ang,Fault line,Fault phase,Fault type,Fault impedance,Fault distance to from bus,Fault distance to source bus,Distance identified by simple impedance method,Distance identified by Takagi method
19,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.815918,-0.001183,7199.42627,-120.0009,7199.453613,119.999115,975.569458,-63.435436,202.805588,-154.684631,202.806366,85.315392,3,A,LG,0,0.3,3.3,3.30000983,3.300015602
20,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.916992,-0.00159,7199.429199,-120.0009,7199.452148,119.999138,865.463257,-57.496254,202.805664,-154.684616,202.80632,85.315414,3,A,LG,1,0.5,3.5,3.507453787,3.560165422
21,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.450684,-0.000851,7199.000488,-120.001762,7199.431152,119.999107,202.806274,-34.684574,773.020203,-173.187683,202.805725,85.315384,3,B,LG,2,0.7,3.7,3.727849091,3.825124124
22,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.452637,-0.000879,7198.858398,-120.001114,7199.427246,119.999107,202.806335,-34.684605,919.828552,176.56459,202.805603,85.315384,3,B,LG,0,0.5,3.5,3.500009804,1.620184527
23,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.427734,-0.000889,7199.45166,-120.000877,7198.896484,119.99894,202.805634,-34.684612,202.806305,-154.684601,870.113037,56.564613,3,C,LG,0,0.7,3.7,3.700010065,0.380404482
24,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.430664,-0.000906,7199.452148,-120.000847,7198.947266,119.997963,202.80571,-34.684631,202.80632,-154.68457,853.249268,67.909683,3,C,LG,2,0.3,3.3,3.328259534,3.409839427
25,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.884766,-0.001824,7198.884766,-120.001823,7198.884766,119.998177,914.299988,-57.157028,914.299988,-177.157028,914.299988,62.842972,3,ABC,3LG,1,0.3,3.3,3.307498315,3.356243806
26,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.859863,-0.001235,7198.859863,-120.001236,7198.859863,119.998764,919.828674,-63.435528,919.828674,176.564468,919.828674,56.564472,3,ABC,3LG,0,0.5,3.5,3.500009991,3.500016178
27,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.051758,-0.002011,7199.051758,-120.002014,7199.051758,119.997986,727.365601,-49.431107,727.365601,-169.431107,727.365601,70.568893,3,ABC,3LG,3,0.7,3.7,3.759052945,3.883146336
28,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.460938,-0.00088,7198.574219,-120.002365,7199.422852,119.999046,202.806564,-34.684605,1323.915405,-177.893509,202.805481,85.315323,2,B,LG,1.5,0.6,2.6,2.302820456,2.322751727
29,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.579102,-0.002541,7198.579102,-120.002541,7198.579102,119.997459,1323.91626,-57.893692,1323.91626,-177.893692,1323.91626,62.106308,2,ABC,3LG,1.5,0.6,2.6,2.302820607,2.322751986
